domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
snbhdfln.com,2,1,0,10,12,9,com,74,1
sncogkwn.com,1,0,0,22,12,9,com,74,1
sndvjpqt.com,2,0,0,10,12,9,com,74,1
sneomuwn.com,2,1,0,57,12,9,com,74,1
snfrpmnq.org,1,0,0,10,12,9,org,74,1
sngvspqt.org,1,0,0,10,12,9,org,74,1
snhyvrtw.org,1,0,0,10,12,9,org,74,1
snioyuwn.org,1,0,0,57,12,9,org,74,1
snjpnwyo.org,1,0,0,22,12,9,org,74,1
snkrpmnq.net,2,1,0,10,12,9,net,74,1
snltqnpr.net,1,0,0,10,12,9,net,74,1
snmvspqt.net,1,0,0,10,12,9,net,74,1
snnwtqrv.net,2,0,0,10,12,9,net,74,1
snoyvrtw.net,1,0,0,22,12,9,net,74,1
snpnwsuy.ru,1,0,0,25,11,10,ru,74,1
snqoyuwn.ru,1,0,0,43,11,10,ru,74,1
snromvxn.ru,1,0,0,25,11,10,ru,74,1
snspnwyo.ru,1,0,0,25,11,10,ru,74,1
sntqoxnp.ru,1,0,0,25,11,10,ru,74,1
snurpmnq.in,1,0,0,25,11,10,in,74,1
snvspnor.in,2,0,0,25,11,10,in,74,1
snwtqnpr.in,1,0,0,11,11,10,in,74,1
snxurops.in,0,0,0,43,11,10,in,74,1
snyvspqt.in,0,0,0,11,11,10,in,74,1
snmvspru.net,0,0,0,22,12,9,net,74,1
snnwtqrv.net,2,0,0,10,12,9,net,74,1
snnxuqsv.net,0,0,0,22,12,9,net,74,1
snoyvrtw.net,1,0,0,22,12,9,net,74,1
snomvstx.net,0,0,0,22,12,9,net,74,1
snpnwsuy.ru,1,0,0,25,11,10,ru,74,1
snpnxtvm.ru,0,0,0,11,11,10,ru,74,1
snqoyuwn.ru,1,0,0,43,11,10,ru,74,1
snqoyuwn.ru,1,0,0,43,11,10,ru,74,1
snromvxn.ru,1,0,0,25,11,10,ru,74,1
snrpnvyo.ru,0,0,0,25,11,10,ru,74,1
snspnwyo.ru,1,0,0,25,11,10,ru,74,1
snsqnxmp.ru,0,0,0,11,11,10,ru,74,1
sntqoxnp.ru,1,0,0,25,11,10,ru,74,1
sntroynp.ru,0,0,0,25,11,10,ru,74,1
snurpmnq.in,1,0,0,25,11,10,in,74,1
snurpmoq.in,0,0,0,43,11,10,in,74,1
snvspnor.in,2,0,0,25,11,10,in,74,1
snvsqnor.in,0,0,0,25,11,10,in,74,1
snwtqnpr.in,1,0,0,11,11,10,in,74,1
snwtqops.in,0,0,0,25,11,10,in,74,1
snxurops.in,0,0,0,43,11,10,in,74,1
snxuroqt.in,0,0,0,43,11,10,in,74,1
snyvspqt.in,0,0,0,11,11,10,in,74,1
snyvspqt.in,0,0,0,11,11,10,in,74,1
snmvspru.net,0,0,0,22,12,9,net,74,1
albdfhln.com,2,1,0,22,12,9,com,74,1
alcgkown.com,2,1,0,38,12,9,com,74,1
aldjpvqt.com,2,0,0,22,12,9,com,74,1
alemuown.com,1,0,0,83,12,9,com,74,1
alfpmrnq.org,2,1,0,22,12,9,org,74,1
algspvqt.org,2,0,0,22,12,9,org,74,1
alhvrytw.org,2,0,0,22,12,9,org,74,1
aliyuown.org,2,0,0,83,12,9,org,74,1
aljnwpyo.org,2,0,0,38,12,9,org,74,1
alkpmrnq.net,2,1,0,22,12,9,net,74,1
allqntpr.net,2,1,0,22,12,9,net,74,1
almspvqt.net,2,1,0,22,12,9,net,74,1
alntqwrv.net,2,1,0,22,12,9,net,74,1
alovrytw.net,2,1,0,38,12,9,net,74,1
alpwsnuy.ru,1,0,0,43,11,10,ru,74,1
alqyuown.ru,1,0,0,67,11,10,ru,74,1
alrmvoxn.ru,1,0,0,43,11,10,ru,74,1
alsnwpyo.ru,1,0,0,43,11,10,ru,74,1
altoxqnp.ru,1,0,0,43,11,10,ru,74,1
alupmrnq.in,1,0,0,43,11,10,in,74,1
alvpnsor.in,2,1,0,43,11,10,in,74,1
alwqntpr.in,2,1,0,25,11,10,in,74,1
alxroups.in,1,0,0,67,11,10,in,74,1
alyspvqt.in,1,0,0,25,11,10,in,74,1
almspvru.net,2,1,0,38,12,9,net,74,1
alntqwrv.net,2,1,0,22,12,9,net,74,1
alnuqxsv.net,1,0,0,38,12,9,net,74,1
alovrytw.net,2,1,0,38,12,9,net,74,1
alovsmtx.net,2,1,0,38,12,9,net,74,1
alpwsnuy.ru,1,0,0,43,11,10,ru,74,1
alpxtnvm.ru,1,0,0,25,11,10,ru,74,1
alqyuown.ru,1,0,0,67,11,10,ru,74,1
alqyuown.ru,1,0,0,67,11,10,ru,74,1
alrmvoxn.ru,1,0,0,43,11,10,ru,74,1
alrnvpyo.ru,1,0,0,43,11,10,ru,74,1
alsnwpyo.ru,1,0,0,43,11,10,ru,74,1
alsnxqmp.ru,1,0,0,25,11,10,ru,74,1
altoxqnp.ru,1,0,0,43,11,10,ru,74,1
altoyrnp.ru,1,0,0,43,11,10,ru,74,1
alupmrnq.in,1,0,0,43,11,10,in,74,1
alupmroq.in,1,0,0,67,11,10,in,74,1
alvpnsor.in,2,1,0,43,11,10,in,74,1
alvqnsor.in,1,0,0,43,11,10,in,74,1
alwqntpr.in,2,1,0,25,11,10,in,74,1
alwqotps.in,1,0,0,43,11,10,in,74,1
alxroups.in,1,0,0,67,11,10,in,74,1
alxrouqt.in,1,0,0,67,11,10,in,74,1
alyspvqt.in,1,0,0,25,11,10,in,74,1
alyspvqt.in,1,0,0,25,11,10,in,74,1
