domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
rwmu35avqo12tqc.com,2,0,21,40,19,7,com,75,1
rskb5bsfhm2fk5h.net,2,0,16,7,19,7,net,75,1
rbp9pprrxgflut9.com,2,0,11,14,19,6,com,75,1
zzxeyzgy45yy2a.net,2,0,17,27,18,7,net,75,1
e3oa4wglvd21xa.com,2,1,22,62,18,8,com,75,1
mqmq1hvmtxzjv.net,2,1,6,7,17,7,net,75,1
pd4o4wu24vimn.com,2,1,24,50,17,8,com,75,1
tlmrzvpbpsqsb.net,2,0,0,7,17,6,net,75,1
pbmnz59uzndpo.com,2,1,12,27,17,7,com,75,1
x2lxslqz3wztw.net,2,0,12,8,17,7,net,75,1
4mnnutyfxje4h.com,2,0,12,27,17,7,com,75,1
n9oonpgabxe31.net,2,0,18,62,17,8,net,75,1
q9mqi2au2d5sv.com,2,0,24,50,17,8,com,75,1
e4zm4yxpnikf2.net,2,0,18,30,17,8,net,75,1
sen4i12uzyixx.com,2,0,18,62,17,8,com,75,1
lr1eve4qog1m2.net,2,0,24,50,17,8,net,75,1
2oidwapmv2cwp.com,2,0,12,40,17,7,com,75,1
5ge4f3gzlywq1.net,2,1,24,20,17,8,net,75,1
skwskzyp2ktoc.com,2,0,6,15,17,7,com,75,1
qtiixgafexkgze1.net,2,0,5,55,19,6,net,75,1
xtjqjmjt344l22w.com,2,0,26,8,19,8,com,75,1
5haqiguhhni1xtu.net,2,0,11,60,19,6,net,75,1
ufklmckg9sz4s4w.com,2,0,16,15,19,7,com,75,1
agcd1dg9ghrku5k.net,2,0,16,25,19,7,net,75,1
hi299fh9zj4bvae.com,2,0,26,44,19,8,com,75,1
ebfszfmcg325fnr.net,2,0,16,15,19,7,net,75,1
pb9r9w5bk5bipws.com,2,1,21,17,19,7,com,75,1
anptlnadkpkhmc3.net,2,1,5,21,19,6,net,75,1
59njm3tgtwggfu3.com,2,1,21,17,19,7,com,75,1
zjz45p43xkw1rxa.net,2,0,26,18,19,8,net,75,1
5bizcsfozjtsony.com,2,0,5,31,19,6,com,75,1
szhtdp1scvhbnu9.net,2,0,11,14,19,6,net,75,1
3hi1r9dlprj5gte.com,2,0,21,27,19,7,com,75,1
amp45rhstc3b9a3.net,2,0,26,30,19,8,net,75,1
lvzyjwj1fakh55i.com,2,0,16,25,19,7,com,75,1
14mdbbx3242lm5q.net,2,1,37,10,19,9,net,75,1
qq3adkdlzbcq43u.com,2,0,16,25,19,7,com,75,1
tq3due1ga3dj1ll.net,2,0,21,40,19,7,net,75,1
isfwp5kwr5ckw52.com,2,0,21,17,19,7,com,75,1
kchsq42enqn4h.net,2,0,18,18,17,8,net,75,1
55kw4od2kwyfq.com,2,0,24,20,17,8,com,75,1
dfs2xuoyr4qqdw.net,2,0,11,25,18,7,net,75,1
mwbuqmxqozuflc.com,2,0,0,31,18,6,com,75,1
2tc1bxb3fiet9a.net,2,0,22,44,18,8,net,75,1
lfaf9nqo49k9yz.com,2,0,22,30,18,8,com,75,1
1orygr49k5vzwc.net,2,0,22,18,18,8,net,75,1
4wypuguo3qxdwz.com,2,0,11,36,18,7,com,75,1
roooiflp9t.net,2,0,7,71,14,8,net,75,1
oxda13oess.com,2,1,14,83,14,9,com,75,1
nofoljt4gueyb1.net,2,0,11,50,18,7,net,75,1
n4zckd12ldu399.com,2,0,33,22,18,9,com,75,1
xqxcysbkjadwpx.net,2,0,0,13,18,6,net,75,1
1uer3u9vttynxg.com,2,0,17,40,18,7,com,75,1
yjmtlupo31p2se.net,2,0,17,40,18,7,net,75,1
gtgilxl5zyja5s.com,2,0,11,25,18,7,com,75,1
qt1sd4jas4fvof.net,2,0,17,27,18,7,net,75,1
ysg9ivv311.com,2,0,29,29,14,11,com,75,1
dwc5cbjada.net,2,0,7,33,14,8,net,75,1
hesdluusd3vew.com,2,0,6,50,17,7,com,75,1
xexenegvjohpwwa.net,2,0,0,50,19,6,net,75,1
9eiic393tze3nmx.com,2,0,26,62,19,8,com,75,1
e14e4gvatl3qnom.net,2,0,21,56,19,7,net,75,1
e4j3ne4t333na.com,2,0,35,67,17,10,com,75,1
qvtc45ddwc1u.net,2,0,19,20,16,8,net,75,1
xh4b9u5ojaxg3f.com,2,0,22,44,18,8,com,75,1
1vp412e12nheix.net,2,1,33,57,18,9,net,75,1
suqs5f5pnpqm3i.com,2,0,17,27,18,7,com,75,1
cpfa25kkz4g9iz.net,2,0,22,30,18,8,net,75,1
itfqjxiii4drtfw.com,2,0,5,42,19,6,com,75,1
elobivqrnx3q9vf.net,2,0,11,33,19,6,net,75,1
bwfpsipkc1v94tg.com,2,0,16,15,19,7,com,75,1
i9jtkqd5fmre3k3.net,2,0,21,27,19,7,net,75,1
1sgwgm9gbhunyqf.com,2,0,11,14,19,6,com,75,1
m9fywwfk2xacvoo.net,2,0,11,33,19,6,net,75,1
iwvy3522ioi9bop.com,2,0,26,86,19,8,com,75,1
ms3r4ywbwfl.net,2,0,13,9,15,8,net,75,1
oolzuc2rpau.com,2,0,7,86,15,8,com,75,1
r3l1m3ysxnq.net,2,0,20,10,15,9,net,75,1
