domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
ubmfotihexo.ru,2,1,0,86,14,8,ru,76,1
czcdujuj.ru,2,0,0,43,11,10,ru,76,1
rwjazota.ru,2,0,0,67,11,10,ru,76,1
engnafgn.ru,2,0,0,43,11,10,ru,76,1
zihubgx.ru,2,0,0,50,10,11,ru,76,1
fonizwhgnqp.ru,2,0,0,30,14,8,ru,76,1
jcxglwduji.ru,2,0,0,33,13,8,ru,76,1
axsdargzghk.ru,2,0,0,30,14,8,ru,76,1
uxktstqz.ru,2,0,0,25,11,10,ru,76,1
nufytyzq.ru,2,0,0,25,11,10,ru,76,1
ajabunorsxu.ru,2,0,0,86,14,8,ru,76,1
cbwbgpcj.ru,2,0,0,11,11,10,ru,76,1
ngdkdybul.ru,2,0,0,22,12,9,ru,76,1
petsfmxmbq.ru,2,0,0,20,13,8,ru,76,1
srknuxorepk.ru,2,0,0,44,14,8,ru,76,1
cnohabqts.ru,2,0,0,38,12,9,ru,76,1
ylwdgnunm.ru,2,0,0,22,12,9,ru,76,1
yfevwbqt.ru,2,0,0,25,11,10,ru,76,1
rktglonmful.ru,2,0,0,30,14,8,ru,76,1
zexejsbwt.ru,2,0,0,38,12,9,ru,76,1
hsdclwrmt.ru,2,0,0,10,12,9,ru,76,1
lixoxepot.ru,2,0,0,83,12,9,ru,76,1
bevwnof.ru,2,0,0,50,10,11,ru,76,1
vybexmru.ru,2,0,0,43,11,10,ru,76,1
kdoritu.ru,2,0,0,80,10,11,ru,76,1
uhkjsxsh.ru,2,0,0,25,11,10,ru,76,1
dwxkzivez.ru,2,0,0,38,12,9,ru,76,1
fwxcrqdsrs.ru,2,0,0,9,13,8,ru,76,1
gnehyxwnw.ru,2,0,0,22,12,9,ru,76,1
ohcrcpkl.ru,2,0,0,25,11,10,ru,76,1
jcdurmfsx.ru,2,0,0,22,12,9,ru,76,1
zyjezuzy.ru,2,0,0,43,11,10,ru,76,1
ynalwbgpi.ru,2,0,0,38,12,9,ru,76,1
kxcngxkvqbg.ru,2,0,0,8,14,8,ru,76,1
evkncxktuvc.ru,2,0,0,30,14,8,ru,76,1
cdunkpyfs.ru,2,0,0,22,12,9,ru,76,1
mxatwxc.ru,2,0,0,29,10,11,ru,76,1
spmrmtmfm.ru,2,0,0,10,12,9,ru,76,1
stwbibqh.ru,2,0,0,25,11,10,ru,76,1
lcnunyngz.ru,2,0,0,22,12,9,ru,76,1
hkdglcxafs.ru,2,0,0,20,13,8,ru,76,1
ivchulszk.ru,2,0,0,38,12,9,ru,76,1
ahalazcpc.ru,2,1,0,57,12,9,ru,76,1
ahabsvgf.ru,2,0,0,43,11,10,ru,76,1
tcfurydwxe.ru,2,0,0,33,13,8,ru,76,1
utahihsniti.ru,2,0,0,86,14,8,ru,76,1
mbotunqfeza.ru,2,0,0,62,14,8,ru,76,1
mrqtans.ru,2,0,0,29,10,11,ru,76,1
khwpudihmzc.ru,2,0,0,30,14,8,ru,76,1
gnkbsti.ru,2,0,0,29,10,11,ru,76,1
inwvwzevo.ru,2,0,0,57,12,9,ru,76,1
ebgfynkzab.ru,2,0,0,33,13,8,ru,76,1
lafwlylob.ru,2,0,0,38,12,9,ru,76,1
nyrwdyxwb.ru,2,0,0,10,12,9,ru,76,1
jqzgtcni.ru,2,0,0,25,11,10,ru,76,1
exmxexw.ru,2,0,0,50,10,11,ru,76,1
ovadwpuv.ru,2,0,0,67,11,10,ru,76,1
jqlolkzw.ru,2,0,0,25,11,10,ru,76,1
cnsbytw.ru,2,0,0,12,10,11,ru,76,1
whgzehqzoh.ru,2,0,0,33,13,8,ru,76,1
byxgripov.ru,2,0,0,38,12,9,ru,76,1
hqdahqtyx.ru,2,0,0,22,12,9,ru,76,1
hozgnwzkdmz.ru,2,0,0,18,14,8,ru,76,1
zqzatizq.ru,2,0,0,43,11,10,ru,76,1
cnwvefafe.ru,2,0,0,57,12,9,ru,76,1
cfaponcxizo.ru,2,0,0,62,14,8,ru,76,1
wpgrwzq.ru,2,0,0,12,10,11,ru,76,1
czcvize.ru,2,0,0,50,10,11,ru,76,1
qjshyhod.ru,2,0,0,25,11,10,ru,76,1
fozozmbmjo.ru,2,0,0,50,13,8,ru,76,1
sjwzobyfq.ru,2,0,0,22,12,9,ru,76,1
qlubutyv.ru,2,0,0,43,11,10,ru,76,1
zyvubgdofqn.ru,2,0,0,30,14,8,ru,76,1
luhmhixmhsv.ru,2,0,0,30,14,8,ru,76,1
vcfarkpc.ru,2,0,0,25,11,10,ru,76,1
ivwzudy.ru,2,0,0,50,10,11,ru,76,1
irafczmfyx.ru,2,0,0,33,13,8,ru,76,1
xatitqv.ru,2,0,0,50,10,11,ru,76,1
rezerunwfe.ru,2,0,0,71,13,8,ru,76,1
ihalofsfu.ru,2,0,0,83,12,9,ru,76,1
qpyjineb.ru,2,0,0,43,11,10,ru,76,1
fylkbyzirg.ru,2,0,0,20,13,8,ru,76,1
qvebknuhqd.ru,2,0,0,33,13,8,ru,76,1
bypqdgpmb.ru,2,0,0,10,12,9,ru,76,1
nshcjelet.ru,2,0,0,38,12,9,ru,76,1
zgrutwtilu.ru,2,0,0,50,13,8,ru,76,1
inwnmhihkj.ru,2,0,0,33,13,8,ru,76,1
dwlcfqfep.ru,2,0,0,22,12,9,ru,76,1
xarctgxgh.ru,2,0,0,22,12,9,ru,76,1
nslahovehu.ru,2,0,0,71,13,8,ru,76,1
enybihmno.ru,2,0,0,57,12,9,ru,76,1
kvcjsnsd.ru,2,0,0,11,11,10,ru,76,1
hqnynkr.ru,2,0,0,12,10,11,ru,76,1
pizcbudu.ru,2,0,0,67,11,10,ru,76,1
ubajcxinm.ru,2,0,0,57,12,9,ru,76,1
afajgvcnm.ru,2,1,0,38,12,9,ru,76,1
krsjejmlkrk.ru,2,0,0,18,14,8,ru,76,1
ilwryjqnaz.ru,2,0,0,33,13,8,ru,76,1
dkxkdkti.ru,2,0,0,25,11,10,ru,76,1
alupixcbmv.ru,2,0,0,50,13,8,ru,76,1
hsbozsnglw.ru,2,0,0,20,13,8,ru,76,1
wvmzcfkdolq.ru,2,0,0,18,14,8,ru,76,1
wtcvkdy.ru,2,0,0,12,10,11,ru,76,1
knsbkbsny.ru,2,0,0,10,12,9,ru,76,1
sbuhkxkzs.ru,2,0,0,22,12,9,ru,76,1
otevazwvyla.ru,2,0,0,62,14,8,ru,76,1
yjefizkr.ru,2,0,0,43,11,10,ru,76,1
tqnabsd.ru,2,0,0,29,10,11,ru,76,1
fipujwbkjch.ru,2,0,0,30,14,8,ru,76,1
bspqxuvwj.ru,2,0,0,22,12,9,ru,76,1
lihknspof.ru,2,0,0,38,12,9,ru,76,1
lslctqhmxcb.ru,2,0,0,8,14,8,ru,76,1
fehofizoxuh.ru,2,0,0,86,14,8,ru,76,1
zutibmx.ru,2,0,0,50,10,11,ru,76,1
buvkbszy.ru,2,0,0,25,11,10,ru,76,1
etiripgb.ru,2,0,0,67,11,10,ru,76,1
dkxcvqnqr.ru,2,0,0,10,12,9,ru,76,1
xkvklcpcpw.ru,2,0,0,9,13,8,ru,76,1
sbqlwngx.ru,2,0,0,11,11,10,ru,76,1
fqlgterejs.ru,2,0,0,33,13,8,ru,76,1
erwvwpgdkb.ru,2,0,0,20,13,8,ru,76,1
lyvqvgbula.ru,2,0,0,33,13,8,ru,76,1
qpshcpwvu.ru,2,0,0,22,12,9,ru,76,1
inuxalwpclq.ru,2,0,0,44,14,8,ru,76,1
wtkfidatyhc.ru,2,0,0,30,14,8,ru,76,1
