domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
pbeqeggzhk.dyndns.org,0,0,0,19,21,11,org,77,1
iwkkqjfu.com,0,0,0,38,12,9,com,77,1
abqeccvqtbs.net,0,0,0,27,15,7,net,77,1
dwvyovlmy.dyndns.org,0,0,0,12,20,11,org,77,1
vbbskxbio.com,0,0,0,33,13,8,com,77,1
oxhmwqrdtgwq.net,0,0,0,15,16,7,net,77,1
hcngijqzzt.dyndns.org,0,0,0,12,21,11,org,77,1
jxsaumg.com,0,0,0,43,11,10,com,77,1
ccyugew.net,0,0,0,43,11,10,net,77,1
uxeychmmqyv.dyndns.org,0,0,0,18,22,10,org,77,1
ncktoaci.com,0,0,0,57,12,9,com,77,1
qyznztbubpzs.net,0,0,0,15,16,7,net,77,1
idfhlvrqhdjv.dyndns.org,0,0,0,11,23,10,org,77,1
bylbxohln.com,0,0,0,20,13,8,com,77,1
tdrvjrx.net,0,0,0,11,11,10,net,77,1
wywpfkmdyh.dyndns.org,0,0,0,6,21,11,org,77,1
pdcjrdczdl.com,0,0,0,8,14,8,com,77,1
hziddfcv.net,0,0,0,22,12,9,net,77,1
aeoxpysqpmb.dyndns.org,0,0,0,25,22,10,org,77,1
tzurbbime.com,0,0,0,50,13,8,com,77,1
vezlnuxi.net,0,0,0,57,12,9,net,77,1
ozfpjmneqhpv.dyndns.org,0,0,0,17,23,10,org,77,1
gfljvpnzvu.com,0,0,0,18,14,8,com,77,1
zardhid.net,0,0,0,43,11,10,net,77,1
cfwxtls.dyndns.org,0,0,0,7,18,12,org,77,1
uacrfdinmz.com,0,0,0,44,14,8,com,77,1
nfslrwyi.net,0,0,0,22,12,9,net,77,1
faygnzyuxqhx.dyndns.org,0,0,0,17,23,10,org,77,1
igdazsoqder.com,0,0,0,56,15,7,com,77,1
bbjuludmj.net,0,0,0,33,13,8,net,77,1
tgpoxnthovww.dyndns.org,0,0,0,17,23,10,org,77,1
mbvijgjdujgo.com,0,0,0,36,16,7,com,77,1
ogbcvjzzaw.net,0,0,0,30,14,8,net,77,1
hbgwrbz.dyndns.org,0,0,0,7,18,12,org,77,1
ahmadeoqvnu.com,0,0,0,75,15,7,com,77,1
scsupxemab.net,0,0,0,44,14,8,net,77,1
vxyobqui.dyndns.org,0,0,0,31,19,12,org,77,1
ncdinskemsyb.com,0,0,0,25,16,7,com,77,1
gxjcjljar.net,0,0,0,20,13,8,net,77,1
zdpwvezvx.dyndns.org,0,0,0,12,20,11,org,77,1
byfqhhp.com,0,0,0,11,11,10,com,77,1
udkktzfnib.net,0,0,0,30,14,8,net,77,1
myqefcvj.dyndns.org,0,0,0,13,19,12,org,77,1
fdwyrvu.com,0,0,0,25,11,10,com,77,1
yyctnokqzfk.net,0,0,0,17,15,7,net,77,1
aehnzqamf.dyndns.org,0,0,0,29,20,11,org,77,1
tznhljqikgeb.com,0,0,0,25,16,7,com,77,1
letlxmfdqkou.net,0,0,0,36,16,7,net,77,1
ezzfjfvzw.dyndns.org,0,0,0,12,20,11,org,77,1
hefzvxv.com,0,0,0,25,11,10,com,77,1
zzktralrrpd.net,0,0,0,17,15,7,net,77,1
sfqndtbmxc.dyndns.org,0,0,0,6,21,11,org,77,1
kawhpwqi.com,0,0,0,38,12,9,com,77,1
nfcbbogeiur.net,0,0,0,56,15,7,net,77,1
garvnhgan.dyndns.org,0,0,0,20,20,11,org,77,1
