domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
kazdjihmj.dyndns.org,0,0,0,20,20,11,org,78,1
dvexvaxip.com,0,0,0,50,13,8,com,78,1
fakrhdnevzbf.net,0,0,0,25,16,7,net,78,1
yvqvtwdaac.dyndns.org,0,0,0,19,21,11,org,78,1
qbwpfzd.com,0,0,0,11,11,10,com,78,1
jwbjbrs.net,2,0,0,11,11,10,net,78,1
mbhdnkinrhz.dyndns.org,0,0,0,11,22,10,org,78,1
ewnxznyj.com,0,0,0,22,12,9,com,78,1
xbtrlgoe.net,2,0,0,38,12,9,net,78,1
pwylxinasmd.dyndns.org,0,0,0,18,22,10,org,78,1
scefjbdwy.com,0,0,0,20,13,8,com,78,1
lxuzfut.net,0,0,0,43,11,10,net,78,1
dcatrxjnjrry.dyndns.org,0,0,0,11,23,10,org,78,1
wxgodpzzpe.com,2,0,0,30,14,8,com,78,1
yclipsy.net,2,0,0,25,11,10,net,78,1
rxrcbloravf.dyndns.org,0,0,0,18,22,10,org,78,1
kdxgneengjp.com,2,0,0,27,15,7,com,78,1
cydajgui.net,0,0,0,57,12,9,net,78,1
fdiuvzjerakk.dyndns.org,0,0,0,31,23,10,org,78,1
xyoohszaw.com,0,0,0,50,13,8,com,78,1
qduitvzwc.net,0,0,0,33,13,8,net,78,1
jzacfop.dyndns.org,0,0,0,23,18,12,org,78,1
lefwrqfnns.com,2,0,0,18,14,8,com,78,1
ezlqnjuj.net,2,0,0,38,12,9,net,78,1
werkzck.dyndns.org,0,0,0,14,18,12,org,78,1
pzhelfkaoxw.com,0,0,0,40,15,7,com,78,1
iemyxxawu.net,2,0,0,71,13,8,net,78,1
kassjapsaoql.dyndns.org,0,0,0,31,23,10,org,78,1
dfywvtfofcae.com,2,0,0,36,16,7,com,78,1
vaerrmvzlg.net,2,0,0,30,14,8,net,78,1
ofkldov.dyndns.org,0,0,0,23,18,12,org,78,1
rapfphlrwxo.com,2,0,0,27,15,7,com,78,1
jfvzbkanck.net,2,0,0,18,14,8,net,78,1
cbbtndqi.dyndns.org,0,0,0,13,19,12,org,78,1
ughnjvgenbcq.com,0,0,0,25,16,7,com,78,1
xbmhvygat.net,0,0,0,20,13,8,net,78,1
qgsbhrwwy.dyndns.org,0,0,0,6,20,11,org,78,1
ibyvtulsegge.com,0,0,0,50,16,7,com,78,1
bhepfmbnju.net,0,0,0,30,14,8,net,78,1
dctjrfrj.dyndns.org,0,0,0,6,19,12,org,78,1
whzdnih.com,2,0,0,25,11,10,com,78,1
pcfhzbgbkzf.net,0,0,0,8,15,7,net,78,1
hhlbldww.dyndns.org,0,0,0,6,19,12,org,78,1
kcqvxwms.com,0,0,0,10,12,9,com,78,1
ciwpjpcobdtj.net,2,0,0,25,16,7,net,78,1
vdcjvssah.dyndns.org,0,0,0,12,20,11,org,78,1
oiierkr.com,2,0,0,100,11,10,com,78,1
qdoyddhrsihh.net,0,0,0,25,16,7,net,78,1
jitspgxnym.dyndns.org,0,0,0,12,21,11,org,78,1
bdzmbznj.com,0,0,0,10,12,9,com,78,1
ujfgnbcejnl.net,2,0,0,27,15,7,net,78,1
