domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
cjdgvh.com,0,0,0,12,10,11,com,79,1
eviwgj.com,0,0,0,50,10,11,com,79,1
eujwuv.com,0,0,0,80,10,11,com,79,1
nouknk.com,0,0,0,50,10,11,com,79,1
myjmah.com,0,0,0,29,10,11,com,79,1
rknphd.com,0,0,0,12,10,11,com,79,1
vpusae.com,0,0,0,80,10,11,com,79,1
casxhy.com,0,0,0,29,10,11,com,79,1
icvkii.com,0,0,0,80,10,11,com,79,1
nrolus.com,0,0,0,50,10,11,com,79,1
oafloz.com,0,0,0,80,10,11,com,79,1
ysflwk.com,0,0,0,12,10,11,com,79,1
qyljav.com,1,1,0,29,10,11,com,79,1
yfmwed.com,0,0,0,29,10,11,com,79,1
iievma.com,0,0,0,125,10,11,com,79,1
khfgfx.com,0,0,0,12,10,11,com,79,1
mtfigh.com,0,0,0,29,10,11,com,79,1
mixwvt.com,0,0,0,29,10,11,com,79,1
gwynfk.com,0,0,0,12,10,11,com,79,1
adlcrg.com,0,0,0,29,10,11,com,79,1
bpraji.com,0,0,0,50,10,11,com,79,1
ohdhqt.com,0,0,0,29,10,11,com,79,1
sppxly.com,0,0,0,12,10,11,com,79,1
znwlfh.com,0,0,0,12,10,11,com,79,1
eqqacq.com,0,0,0,50,10,11,com,79,1
vpjzig.com,0,0,0,29,10,11,com,79,1
yeoarx.com,1,0,0,80,10,11,com,79,1
dekhya.com,0,0,0,50,10,11,com,79,1
viyuoa.com,1,0,0,125,10,11,com,79,1
xziwjc.com,0,0,0,29,10,11,com,79,1
juoila.com,0,0,0,125,10,11,com,79,1
hcpslh.com,0,0,0,12,10,11,com,79,1
erwagd.com,0,0,0,50,10,11,com,79,1
yhbeto.com,0,0,0,50,10,11,com,79,1
thewmy.com,2,0,0,29,10,11,com,79,1
eiruig.com,0,0,0,125,10,11,com,79,1
hshwil.com,0,0,0,29,10,11,com,79,1
creusf.com,0,0,0,50,10,11,com,79,1
kqzcil.com,0,0,0,29,10,11,com,79,1
ucatey.com,0,0,0,80,10,11,com,79,1
szbppw.com,0,0,0,12,10,11,com,79,1
nmblgv.com,0,0,0,12,10,11,com,79,1
emoovn.com,0,0,0,80,10,11,com,79,1
gotqum.com,0,0,0,50,10,11,com,79,1
ocmizh.com,0,0,0,50,10,11,com,79,1
fhceoo.com,0,0,0,80,10,11,com,79,1
odrfhu.com,0,0,0,50,10,11,com,79,1
gsdkgd.com,0,0,0,12,10,11,com,79,1
rsfidg.com,0,0,0,29,10,11,com,79,1
intcyo.com,0,0,0,50,10,11,com,79,1
ohvwuo.com,2,0,0,80,10,11,com,79,1
vapoaq.com,0,0,0,80,10,11,com,79,1
cyozlo.com,0,0,0,50,10,11,com,79,1
mbnufo.com,0,0,0,50,10,11,com,79,1
quuaso.com,0,0,0,125,10,11,com,79,1
oazumy.com,0,0,0,80,10,11,com,79,1
koenqz.com,0,0,0,50,10,11,com,79,1
bbnyhu.com,0,0,0,29,10,11,com,79,1
ptsmyx.com,0,0,0,12,10,11,com,79,1
dgjsiu.com,0,0,0,50,10,11,com,79,1
lzyuri.com,0,0,0,50,10,11,com,79,1
ohtani.com,1,1,0,80,10,11,com,79,1
aupsua.com,0,0,0,125,10,11,com,79,1
cbliip.com,0,0,0,50,10,11,com,79,1
thejni.com,1,1,0,50,10,11,com,79,1
shikai.com,1,1,0,80,10,11,com,79,1
xuhveu.com,0,0,0,80,10,11,com,79,1
nypyog.com,0,0,0,29,10,11,com,79,1
vsdwdk.com,0,0,0,12,10,11,com,79,1
houfac.com,0,0,0,80,10,11,com,79,1
yeufhy.com,0,0,0,50,10,11,com,79,1
crkadk.com,0,0,0,29,10,11,com,79,1
oynqwg.com,0,0,0,29,10,11,com,79,1
oghsbw.com,0,0,0,29,10,11,com,79,1
vyqies.com,0,0,0,50,10,11,com,79,1
whwuye.com,1,0,0,50,10,11,com,79,1
denjfl.com,0,0,0,29,10,11,com,79,1
orvhqz.com,0,0,0,29,10,11,com,79,1
rikvqu.com,0,0,0,50,10,11,com,79,1
wvqvwq.com,0,0,0,12,10,11,com,79,1
dyfest.com,1,1,0,29,10,11,com,79,1
knxqrq.com,0,0,0,12,10,11,com,79,1
vrrxbz.com,0,0,0,12,10,11,com,79,1
jneakp.com,0,0,0,50,10,11,com,79,1
dqlgyo.com,0,0,0,29,10,11,com,79,1
oshrzu.com,0,0,0,50,10,11,com,79,1
teilhz.com,0,0,0,50,10,11,com,79,1
neovrs.com,0,0,0,50,10,11,com,79,1
cejopj.com,0,0,0,50,10,11,com,79,1
ktjdlr.com,0,0,0,12,10,11,com,79,1
iixciz.com,0,0,0,80,10,11,com,79,1
ajcapf.com,0,0,0,50,10,11,com,79,1
iyocea.com,0,0,0,125,10,11,com,79,1
oobxoc.com,0,0,0,80,10,11,com,79,1
wydwou.com,0,0,0,50,10,11,com,79,1
uyefaj.com,0,0,0,80,10,11,com,79,1
emzudw.com,0,0,0,50,10,11,com,79,1
zyauva.com,0,0,0,80,10,11,com,79,1
jovdfj.com,0,0,0,29,10,11,com,79,1
tczgza.com,0,0,0,29,10,11,com,79,1
yywiii.com,0,0,0,80,10,11,com,79,1
vmfqha.com,0,0,0,29,10,11,com,79,1
zizgnu.com,0,0,0,50,10,11,com,79,1
coythq.com,0,0,0,29,10,11,com,79,1
jbksxx.com,1,0,0,12,10,11,com,79,1
ceiqwv.com,0,0,0,50,10,11,com,79,1
uussua.com,0,0,0,125,10,11,com,79,1
qwlouz.com,0,0,0,50,10,11,com,79,1
snouho.com,0,0,0,80,10,11,com,79,1
xnyrnh.com,0,0,0,12,10,11,com,79,1
fshqiz.com,0,0,0,29,10,11,com,79,1
gjygrg.com,0,0,0,12,10,11,com,79,1
tkbzzu.com,0,0,0,29,10,11,com,79,1
ssnusi.com,0,0,0,50,10,11,com,79,1
dkaqfu.com,0,0,0,50,10,11,com,79,1
iiowip.com,0,0,0,125,10,11,com,79,1
sgbive.com,0,0,0,50,10,11,com,79,1
nitpoi.com,2,0,0,80,10,11,com,79,1
snaumu.com,0,0,0,80,10,11,com,79,1
whbbyu.com,0,0,0,29,10,11,com,79,1
apuoer.com,0,0,0,125,10,11,com,79,1
ayphug.com,0,0,0,50,10,11,com,79,1
cumbdh.com,0,0,0,29,10,11,com,79,1
npsyfa.com,0,0,0,29,10,11,com,79,1
iqvgxy.com,0,0,0,29,10,11,com,79,1
ovksww.com,0,0,0,29,10,11,com,79,1
pahesu.com,0,0,0,80,10,11,com,79,1
hjiuan.com,0,0,0,80,10,11,com,79,1
qryhco.com,0,0,0,29,10,11,com,79,1
udahiy.com,0,0,0,80,10,11,com,79,1
dsrgju.com,0,0,0,29,10,11,com,79,1
awuziy.com,0,0,0,80,10,11,com,79,1
tiubiz.com,0,0,0,80,10,11,com,79,1
ssaiop.com,0,0,0,80,10,11,com,79,1
svlzzx.com,0,0,0,12,10,11,com,79,1
yhnxmj.com,0,0,0,12,10,11,com,79,1
kwoacy.com,0,0,0,50,10,11,com,79,1
afpyya.com,0,0,0,50,10,11,com,79,1
ygpfas.com,0,0,0,29,10,11,com,79,1
roufok.com,0,0,0,80,10,11,com,79,1
eedkxv.com,0,0,0,50,10,11,com,79,1
cihfba.com,0,0,0,50,10,11,com,79,1
xcnvhm.com,0,0,0,12,10,11,com,79,1
qeujei.com,0,0,0,125,10,11,com,79,1
oliaaa.com,0,0,0,200,10,11,com,79,1
ezwacq.com,0,0,0,50,10,11,com,79,1
xdqoba.com,0,0,0,50,10,11,com,79,1
oauqaq.com,0,0,0,125,10,11,com,79,1
almehd.com,1,1,0,50,10,11,com,79,1
jfojyf.com,0,0,0,29,10,11,com,79,1
