domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
redotntexplore.info,2,0,0,64,19,6,info,80,1
erdotntexplore.info,2,0,0,64,19,6,info,80,1
edrotntexplore.info,2,0,0,64,19,6,info,80,1
edortntexplore.info,2,0,0,64,19,6,info,80,1
edotrntexplore.info,2,0,0,64,19,6,info,80,1
edotnrtexplore.info,2,0,0,64,19,6,info,80,1
edotntrexplore.info,2,0,0,64,19,6,info,80,1
edotnterxplore.info,2,0,0,64,19,6,info,80,1
edotntexrplore.info,2,1,0,64,19,6,info,80,1
edotntexprlore.info,2,0,0,64,19,6,info,80,1
edotntexplrore.info,2,0,0,64,19,6,info,80,1
edotntexplorre.info,2,0,0,64,19,6,info,80,1
edotntexplorer.info,2,0,0,64,19,6,info,80,1
deotntexplorer.info,2,0,0,64,19,6,info,80,1
doetntexplorer.info,2,0,0,64,19,6,info,80,1
dotentexplorer.info,2,0,0,64,19,6,info,80,1
dotnetexplorer.info,2,0,0,64,19,6,info,80,1
dotnteexplorer.info,2,0,0,64,19,6,info,80,1
dotntexeplorer.info,2,0,0,64,19,6,info,80,1
dotntexpelorer.info,2,0,0,64,19,6,info,80,1
dotntexpleorer.info,2,0,0,64,19,6,info,80,1
dotntexploerer.info,2,0,0,64,19,6,info,80,1
dotntexploreer.info,2,0,0,64,19,6,info,80,1
dotntexplorere.info,2,0,0,64,19,6,info,80,1
odtntexplorere.info,2,0,0,64,19,6,info,80,1
otdntexplorere.info,2,0,0,64,19,6,info,80,1
otndtexplorere.info,2,0,0,64,19,6,info,80,1
otntdexplorere.info,2,0,0,64,19,6,info,80,1
otntedxplorere.info,2,0,0,64,19,6,info,80,1
otntexdplorere.info,2,0,0,64,19,6,info,80,1
otntexpdlorere.info,2,0,0,64,19,6,info,80,1
otntexpldorere.info,2,0,0,64,19,6,info,80,1
otntexplodrere.info,2,0,0,64,19,6,info,80,1
otntexplordere.info,2,0,0,64,19,6,info,80,1
otntexploredre.info,2,0,0,64,19,6,info,80,1
otntexplorerde.info,2,0,0,64,19,6,info,80,1
otntexplorered.info,2,0,0,64,19,6,info,80,1
tontexplorered.info,2,0,0,64,19,6,info,80,1
tnotexplorered.info,2,0,0,64,19,6,info,80,1
tntoexplorered.info,2,0,0,64,19,6,info,80,1
tnteoxplorered.info,2,0,0,64,19,6,info,80,1
tntexoplorered.info,2,0,0,64,19,6,info,80,1
tntexpolorered.info,2,0,0,64,19,6,info,80,1
tntexploorered.info,2,0,0,64,19,6,info,80,1
tntexploroered.info,2,0,0,64,19,6,info,80,1
tntexploreored.info,2,0,0,64,19,6,info,80,1
tntexploreroed.info,2,0,0,64,19,6,info,80,1
tntexplorereod.info,2,0,0,64,19,6,info,80,1
tntexploreredo.info,2,0,0,64,19,6,info,80,1
nttexploreredo.info,2,0,0,64,19,6,info,80,1
ntetxploreredo.info,2,0,0,64,19,6,info,80,1
ntextploreredo.info,2,0,0,64,19,6,info,80,1
ntexptloreredo.info,2,0,0,64,19,6,info,80,1
ntexpltoreredo.info,1,0,0,64,19,6,info,80,1
ntexplotreredo.info,2,0,0,64,19,6,info,80,1
ntexplorteredo.info,2,0,0,64,19,6,info,80,1
ntexploretredo.info,2,0,0,64,19,6,info,80,1
ntexplorertedo.info,2,0,0,64,19,6,info,80,1
ntexploreretdo.info,2,0,0,64,19,6,info,80,1
ntexploreredto.info,1,0,0,64,19,6,info,80,1
ntexploreredot.info,2,0,0,64,19,6,info,80,1
tnexploreredot.info,2,0,0,64,19,6,info,80,1
tenxploreredot.info,2,0,0,64,19,6,info,80,1
texnploreredot.info,2,0,0,64,19,6,info,80,1
texpnloreredot.info,2,0,0,64,19,6,info,80,1
texplnoreredot.info,1,0,0,64,19,6,info,80,1
texplonreredot.info,2,0,0,64,19,6,info,80,1
texplorneredot.info,2,0,0,64,19,6,info,80,1
texplorenredot.info,2,0,0,64,19,6,info,80,1
texplorernedot.info,2,0,0,64,19,6,info,80,1
texplorerendot.info,1,0,0,64,19,6,info,80,1
texplorerednot.info,2,0,0,64,19,6,info,80,1
texploreredont.info,1,0,0,64,19,6,info,80,1
texploreredotn.info,1,0,0,64,19,6,info,80,1
etxploreredotn.info,2,0,0,64,19,6,info,80,1
extploreredotn.info,2,0,0,64,19,6,info,80,1
exptloreredotn.info,1,0,0,64,19,6,info,80,1
expltoreredotn.info,2,0,0,64,19,6,info,80,1
explotreredotn.info,1,0,0,64,19,6,info,80,1
explorteredotn.info,2,0,0,64,19,6,info,80,1
exploretredotn.info,1,0,0,64,19,6,info,80,1
explorertedotn.info,2,0,0,64,19,6,info,80,1
exploreretdotn.info,2,0,0,64,19,6,info,80,1
exploreredtotn.info,1,0,0,64,19,6,info,80,1
exploreredottn.info,2,0,0,64,19,6,info,80,1
