domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
wdd5efc16356a40fc214fdc3d10cf9b5fc.pro,0,0,42,17,38,5,pro,81,1
wd58cc8365d534440c1ebfe398705eef81.pro,0,0,55,45,38,6,pro,81,1
wd6ce668f4713d2de7819182a09b13c7e8.pro,0,0,58,50,38,7,pro,81,1
wddb07794935bb806788f287b0a3d314df.pro,0,0,58,15,38,7,pro,81,1
wd49d5ea0b7a5b6b122457ae0ee4d0246a.pro,0,0,50,100,38,6,pro,81,1
wd98f2020990bc2f56666c396c2821372c.pro,0,0,66,9,38,8,pro,81,1
wd54991513eca9672d04d96cadca9abe78.pro,0,0,50,64,38,6,pro,81,1
wd1e0ff83acaeec6f22c226d670a7d35c9.pro,0,0,45,54,38,5,pro,81,1
wd245af62516768d6a223175a243be76c8.pro,0,0,63,62,38,8,pro,81,1
wde71fabe1f92266607ee454e31a50dcfc.pro,0,0,47,73,38,5,pro,81,1
wd1654bd1479cd7fa31ee6e7b2e8cf2c1a.pro,0,0,45,54,38,5,pro,81,1
wdd846ca38226f400f8bfbbe421ff7959e.pro,0,0,50,29,38,6,pro,81,1
wd25c21e5ec52e989e17c6aaee2ab2c7e2.pro,0,0,45,122,38,5,pro,81,1
wdb8a77f82f01543e3e5c0be4d05621807.pro,0,0,58,50,38,7,pro,81,1
wd1ac99aac40dd292cb52524e687011929.pro,0,0,58,50,38,7,pro,81,1
wd4c1f8a216e5fc296e0bfe5cdc9acbd2a.pro,0,0,37,44,38,4,pro,81,1
wddc220fdd494705314d22058a329b2c69.pro,0,0,61,17,38,7,pro,81,1
wd5b47ae2fc8ccf8c0099b0145b6e7d558.pro,0,0,50,29,38,6,pro,81,1
wda3e211ec7e3c32ff706b9a4b694b1a22.pro,0,0,50,64,38,6,pro,81,1
wd707bdc6220736d439b0db264fb7966cf.pro,0,0,55,7,38,6,pro,81,1
wdd5efc16356a40fc214fdc3d10cf9b5fc.win,0,0,42,17,38,5,win,81,1
wd58cc8365d534440c1ebfe398705eef81.win,0,0,55,45,38,6,win,81,1
wd6ce668f4713d2de7819182a09b13c7e8.win,0,0,58,50,38,7,win,81,1
wddb07794935bb806788f287b0a3d314df.win,0,0,58,15,38,7,win,81,1
wd49d5ea0b7a5b6b122457ae0ee4d0246a.win,0,0,50,100,38,6,win,81,1
wd98f2020990bc2f56666c396c2821372c.win,0,0,66,9,38,8,win,81,1
wd54991513eca9672d04d96cadca9abe78.win,0,0,50,64,38,6,win,81,1
wd1e0ff83acaeec6f22c226d670a7d35c9.win,0,0,45,54,38,5,win,81,1
wd245af62516768d6a223175a243be76c8.win,0,0,63,62,38,8,win,81,1
wde71fabe1f92266607ee454e31a50dcfc.win,0,0,47,73,38,5,win,81,1
wd1654bd1479cd7fa31ee6e7b2e8cf2c1a.win,0,0,45,54,38,5,win,81,1
wdd846ca38226f400f8bfbbe421ff7959e.win,0,0,50,29,38,6,win,81,1
wd25c21e5ec52e989e17c6aaee2ab2c7e2.win,0,0,45,122,38,5,win,81,1
wdb8a77f82f01543e3e5c0be4d05621807.win,0,0,58,50,38,7,win,81,1
wd1ac99aac40dd292cb52524e687011929.win,0,0,58,50,38,7,win,81,1
wd4c1f8a216e5fc296e0bfe5cdc9acbd2a.win,0,0,37,44,38,4,win,81,1
wddc220fdd494705314d22058a329b2c69.win,0,0,61,17,38,7,win,81,1
wd5b47ae2fc8ccf8c0099b0145b6e7d558.win,0,0,50,29,38,6,win,81,1
wda3e211ec7e3c32ff706b9a4b694b1a22.win,0,0,50,64,38,6,win,81,1
wd707bdc6220736d439b0db264fb7966cf.win,0,0,55,7,38,6,win,81,1
d5efc16356a40fc214fdc3d10cf9b5fc.pro,0,0,44,19,36,5,pro,81,1
58cc8365d534440c1ebfe398705eef81.pro,0,0,58,56,36,7,pro,81,1
6ce668f4713d2de7819182a09b13c7e8.pro,0,0,61,62,36,8,pro,81,1
db07794935bb806788f287b0a3d314df.pro,0,0,61,18,36,8,pro,81,1
49d5ea0b7a5b6b122457ae0ee4d0246a.pro,0,0,53,129,36,6,pro,81,1
98f2020990bc2f56666c396c2821372c.pro,0,0,69,11,36,10,pro,81,1
54991513eca9672d04d96cadca9abe78.pro,0,0,53,78,36,6,pro,81,1
1e0ff83acaeec6f22c226d670a7d35c9.pro,0,0,47,64,36,6,pro,81,1
245af62516768d6a223175a243be76c8.pro,0,0,67,83,36,9,pro,81,1
e71fabe1f92266607ee454e31a50dcfc.pro,0,0,50,89,36,6,pro,81,1
1654bd1479cd7fa31ee6e7b2e8cf2c1a.pro,0,0,47,64,36,6,pro,81,1
d846ca38226f400f8bfbbe421ff7959e.pro,0,0,53,33,36,6,pro,81,1
25c21e5ec52e989e17c6aaee2ab2c7e2.pro,0,0,47,157,36,6,pro,81,1
b8a77f82f01543e3e5c0be4d05621807.pro,0,0,61,62,36,8,pro,81,1
1ac99aac40dd292cb52524e687011929.pro,0,0,61,62,36,8,pro,81,1
4c1f8a216e5fc296e0bfe5cdc9acbd2a.pro,0,0,39,50,36,5,pro,81,1
dc220fdd494705314d22058a329b2c69.pro,0,0,64,20,36,8,pro,81,1
5b47ae2fc8ccf8c0099b0145b6e7d558.pro,0,0,53,33,36,6,pro,81,1
a3e211ec7e3c32ff706b9a4b694b1a22.pro,0,0,53,78,36,6,pro,81,1
707bdc6220736d439b0db264fb7966cf.pro,0,0,58,8,36,7,pro,81,1
d5efc16356a40fc214fdc3d10cf9b5fc.win,0,0,44,19,36,5,win,81,1
58cc8365d534440c1ebfe398705eef81.win,0,0,58,56,36,7,win,81,1
6ce668f4713d2de7819182a09b13c7e8.win,0,0,61,62,36,8,win,81,1
db07794935bb806788f287b0a3d314df.win,0,0,61,18,36,8,win,81,1
49d5ea0b7a5b6b122457ae0ee4d0246a.win,0,0,53,129,36,6,win,81,1
98f2020990bc2f56666c396c2821372c.win,0,0,69,11,36,10,win,81,1
54991513eca9672d04d96cadca9abe78.win,0,0,53,78,36,6,win,81,1
1e0ff83acaeec6f22c226d670a7d35c9.win,0,0,47,64,36,6,win,81,1
245af62516768d6a223175a243be76c8.win,0,0,67,83,36,9,win,81,1
e71fabe1f92266607ee454e31a50dcfc.win,0,0,50,89,36,6,win,81,1
1654bd1479cd7fa31ee6e7b2e8cf2c1a.win,0,0,47,64,36,6,win,81,1
d846ca38226f400f8bfbbe421ff7959e.win,0,0,53,33,36,6,win,81,1
25c21e5ec52e989e17c6aaee2ab2c7e2.win,0,0,47,157,36,6,win,81,1
b8a77f82f01543e3e5c0be4d05621807.win,0,0,61,62,36,8,win,81,1
1ac99aac40dd292cb52524e687011929.win,0,0,61,62,36,8,win,81,1
4c1f8a216e5fc296e0bfe5cdc9acbd2a.win,0,0,39,50,36,5,win,81,1
dc220fdd494705314d22058a329b2c69.win,0,0,64,20,36,8,win,81,1
5b47ae2fc8ccf8c0099b0145b6e7d558.win,0,0,53,33,36,6,win,81,1
a3e211ec7e3c32ff706b9a4b694b1a22.win,0,0,53,78,36,6,win,81,1
707bdc6220736d439b0db264fb7966cf.win,0,0,58,8,36,7,win,81,1
wdeeeb2159a544243e9ed533d9e55c1012.pro,0,0,55,100,38,6,pro,81,1
wd451d6f538dbaa2c6cd86e3ac1defe078.pro,0,0,42,50,38,5,pro,81,1
wdc4d72b0592f6ddca576dbd1076accde8.pro,0,0,42,24,38,5,pro,81,1
wdd7ba8df1b684eaab12d1b3c2bccf7194.pro,0,0,39,29,38,5,pro,81,1
wdc7401d3cc4ef9b2ffa7cda277dc2a23a.pro,0,0,39,38,38,5,pro,81,1
wd2af237786d32d4512fcbb1556c668620.pro,0,0,61,17,38,7,pro,81,1
wd706e4dbde67d81aa035bc30bcb1af84c.pro,0,0,42,40,38,5,pro,81,1
wdbf4c4c81ccdbd7b46075add2ed36f90a.pro,0,0,39,22,38,5,pro,81,1
