domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
jcncpetungp.com,0,0,0,27,15,7,com,82,1
hmtmhohybaxgler.com,0,0,0,29,19,6,com,82,1
jszszyvcpufmzuj.com,0,0,0,20,19,6,com,82,1
hyfynmjcdorsj.com,0,0,0,14,17,6,com,82,1
jilifwtgrizyx.com,0,0,0,33,17,6,com,82,1
horotghkfch.com,0,0,0,27,15,7,com,82,1
juxyluvotwp.com,0,0,0,40,15,7,com,82,1
lededejshqx.com,0,0,0,40,15,7,com,82,1
jkjoroxsvkfwtyn.com,0,0,0,20,19,6,com,82,1
lqpujclwjenchof.com,0,0,0,29,19,6,com,82,1
jarabmzaxyvir.com,0,0,0,45,17,6,com,82,1
lgxkpwnelsdkf.com,0,0,0,14,17,6,com,82,1
bsxohcbmhkdcl.com,0,0,0,14,17,6,com,82,1
dydyzqpqveliz.com,0,0,0,23,17,6,com,82,1
bejeradujyx.com,0,0,0,56,15,7,com,82,1
dopkfkryxsf.com,0,0,0,17,15,7,com,82,1
fuvuxufcpmn.com,0,0,0,40,15,7,com,82,1
dabalitcdgvcvgd.com,0,0,0,29,19,6,com,82,1
fkhkdsdgradijwv.com,0,0,0,20,19,6,com,82,1
dqnqvcrkfulot.com,0,0,0,23,17,6,com,82,1
fatajqfototuh.com,0,0,0,60,17,6,com,82,1
dgzgbatshib.com,0,0,0,27,15,7,com,82,1
fmfqtkhsvcj.com,0,0,0,8,15,7,com,82,1
hwhwhyvwjwr.com,0,0,0,8,15,7,com,82,1
xelazejifor.com,0,0,0,75,15,7,com,82,1
zonkroxmtid.com,0,0,0,40,15,7,com,82,1
xutqjylmhclmxop.com,0,0,0,20,19,6,com,82,1
zazaxizqvwtsleh.com,0,0,0,38,19,6,com,82,1
xkfgpwnujqbyz.com,0,0,0,14,17,6,com,82,1
zqlmdgbyxkjej.com,0,0,0,14,17,6,com,82,1
bwrwvqpclerkx.com,0,0,0,14,17,6,com,82,1
zgxcnedczyz.com,0,0,0,17,15,7,com,82,1
bmdmbongnsh.com,0,0,0,17,15,7,com,82,1
zsjstybkbmpcfip.com,0,0,0,12,19,6,com,82,1
bcpclmpopgxityh.com,0,0,0,20,19,6,com,82,1
