domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
xxfddc1b01.at,2,0,23,12,13,11,at,83,1
xxfeee0d8.fm,1,1,17,50,12,11,fm,83,1
xx83603fbb.tk,2,1,38,0,13,14,tk,83,1
xx7f7706c0.cz,1,0,46,0,13,17,cz,83,1
xxc1b01fdd.us,1,0,23,12,13,11,us,83,1
xxfeee0d8.fr,1,0,17,50,12,11,fr,83,1
xxfeee0d80.be,1,0,23,80,13,11,be,83,1
xxdc1b01fd.in,2,0,23,12,13,11,in,83,1
xx83603fbb.tv,1,0,38,0,13,14,tv,83,1
xx7f7706c0.ch,1,0,46,0,13,17,ch,83,1
xxdc1b01fd.io,1,0,23,29,13,11,io,83,1
xxbb83603f.li,1,0,38,17,13,14,li,83,1
xxddc1b01f.me,1,0,23,12,13,11,me,83,1
xxfeee0d80.bz,1,0,23,50,13,11,bz,83,1
xxddc1b01f.md,1,0,23,0,13,11,md,83,1
xxddc1b01f.ms,1,0,23,0,13,11,ms,83,1
xx1fddc1b0.es,1,0,23,12,13,11,es,83,1
xxbb83603f.la,1,1,38,17,13,14,la,83,1
xx83603fbb.tw,1,0,38,0,13,14,tw,83,1
xx3fbb8360.dk,1,0,38,0,13,14,dk,83,1
xx6c07f77.su,1,0,42,20,12,17,su,83,1
xx3fbb8360.de,1,0,38,17,13,14,de,83,1
xxeee0d80f.nu,1,0,23,80,13,11,nu,83,1
xx83603fbb.tc,1,0,38,0,13,14,tc,83,1
xx1fddc1b0.eu,1,0,23,29,13,11,eu,83,1
xx6c07f77.sc,1,0,42,0,12,17,sc,83,1
xx83603fbb.tm,1,0,38,0,13,14,tm,83,1
xx7f7706c.gr,1,0,42,0,12,17,gr,83,1
xxfddc1b01.ag,1,0,23,12,13,11,ag,83,1
xx3603fbb8.pl,1,0,38,0,13,14,pl,83,1
xx706c07f7.ws,1,1,46,0,13,17,ws,83,1
xxfddc1b01.ac,1,0,23,12,13,11,ac,83,1
xx6c07f77.sg,1,0,42,0,12,17,sg,83,1
xxdc1b01fd.im,1,0,23,12,13,11,im,83,1
xxbb83603f.lv,1,0,38,0,13,14,lv,83,1
xxb83603fb.hk,1,0,38,0,13,14,hk,83,1
xxfddc1b01.am,1,0,23,12,13,11,am,83,1
xx7f7706c0.cc,1,0,46,0,13,17,cc,83,1
xx6c07f77.se,1,0,42,20,12,17,se,83,1
xx7706c07f.kz,1,0,46,0,13,17,kz,83,1
xx7f7706c0.cn,1,0,46,0,13,17,cn,83,1
xx6c07f77.sh,1,0,42,0,12,17,sh,83,1
xxdc1b01fd.it,1,0,23,12,13,11,it,83,1
xxd80feee.ru,1,0,17,80,12,11,ru,83,1
xxd80f90e0.at,1,0,38,40,13,14,at,83,1
xx1f21c1b.fm,2,1,33,0,12,14,fm,83,1
xx8706c07c.tk,1,0,46,0,13,17,tk,83,1
xx603e4383.cz,1,0,54,25,13,20,cz,83,1
xxe0d80f9.us,1,0,33,40,12,14,us,83,1
xx1f21c1b.fr,1,0,33,0,12,14,fr,83,1
xxb01f21c1.be,1,0,38,17,13,14,be,83,1
xxe0d80f90.in,1,0,38,40,13,14,in,83,1
xx8706c07c.tv,1,0,46,0,13,17,tv,83,1
xx603e4383.ch,1,0,54,25,13,20,ch,83,1
xxe0d80f90.io,1,0,38,75,13,14,io,83,1
xx6c07c87.li,1,0,42,20,12,17,li,83,1
xxd80f90e.me,1,0,33,40,12,14,me,83,1
xxb01f21c1.bz,1,0,38,0,13,14,bz,83,1
xxd80f90e.md,1,0,33,17,12,14,md,83,1
xxd80f90e.ms,1,0,33,17,12,14,ms,83,1
xx80f90e0d.es,1,0,38,40,13,14,es,83,1
xx6c07c87.la,1,1,42,20,12,17,la,83,1
xx8706c07c.tw,1,0,46,0,13,17,tw,83,1
xxc07c8706.dk,1,0,46,0,13,17,dk,83,1
xx4383603e.su,1,0,54,67,13,20,su,83,1
xxc07c8706.de,1,0,46,20,13,17,de,83,1
xx1b01f21c.nu,1,0,38,17,13,14,nu,83,1
xx8706c07c.tc,1,0,46,0,13,17,tc,83,1
xx80f90e0d.eu,1,0,38,75,13,14,eu,83,1
xx4383603e.sc,1,0,54,25,13,20,sc,83,1
xx8706c07c.tm,1,0,46,0,13,17,tm,83,1
xx3e43836.gr,1,0,50,25,12,20,gr,83,1
xxd80f90e0.ag,1,0,38,40,13,14,ag,83,1
xxc8706c07.pl,1,0,46,0,13,17,pl,83,1
xx383603e4.ws,1,1,54,25,13,20,ws,83,1
xxd80f90e0.ac,1,0,38,40,13,14,ac,83,1
xx4383603e.sg,1,0,54,25,13,20,sg,83,1
xxe0d80f90.im,1,0,38,40,13,14,im,83,1
xx6c07c87.lv,1,0,42,0,12,17,lv,83,1
xx706c07c8.hk,1,0,46,0,13,17,hk,83,1
xxd80f90e0.am,1,0,38,40,13,14,am,83,1
xx603e4383.cc,2,0,54,25,13,20,cc,83,1
xx4383603e.se,1,0,54,67,13,20,se,83,1
xx83603e43.kz,1,0,54,25,13,20,kz,83,1
xx603e4383.cn,1,0,54,25,13,20,cn,83,1
xx4383603e.sh,1,0,54,25,13,20,sh,83,1
xxe0d80f90.it,1,0,38,40,13,14,it,83,1
xx21c1b01f.ru,1,0,38,17,13,14,ru,83,1
xx6c07c970.at,1,0,46,20,13,17,at,83,1
xx3e4b836.fm,2,1,42,20,12,17,fm,83,1
xx2e0d80f9.tk,1,0,38,17,13,14,tk,83,1
xxb01f25c1.cz,1,0,38,0,13,14,cz,83,1
xx9706c07c.us,1,0,46,20,13,17,us,83,1
xx3e4b836.fr,1,0,42,20,12,17,fr,83,1
xx603e4b83.be,1,0,46,50,13,17,be,83,1
xx706c07c9.in,1,0,46,20,13,17,in,83,1
xx2e0d80f9.tv,1,0,38,17,13,14,tv,83,1
xxb01f25c1.ch,1,0,38,0,13,14,ch,83,1
xx706c07c9.io,1,0,46,50,13,17,io,83,1
xxd80f92e.li,1,0,33,40,12,14,li,83,1
xx6c07c97.me,1,0,42,20,12,17,me,83,1
xx603e4b83.bz,1,0,46,20,13,17,bz,83,1
xx6c07c97.md,1,0,42,0,12,17,md,83,1
xx6c07c97.ms,1,0,42,0,12,17,ms,83,1
xxc07c9706.es,1,0,46,20,13,17,es,83,1
xxd80f92e.la,1,1,33,40,12,14,la,83,1
xx2e0d80f9.tw,1,0,38,17,13,14,tw,83,1
xx80f92e0d.dk,1,0,38,17,13,14,dk,83,1
xx25c1b01f.su,1,0,38,17,13,14,su,83,1
xx80f92e0d.de,1,0,38,40,13,14,de,83,1
xx3603e4b8.nu,1,0,46,50,13,17,nu,83,1
xx2e0d80f9.tc,1,0,38,17,13,14,tc,83,1
xxc07c9706.eu,1,0,46,50,13,17,eu,83,1
xx25c1b01f.sc,1,0,38,0,13,14,sc,83,1
xx2e0d80f9.tm,1,0,38,17,13,14,tm,83,1
xx1f25c1b.gr,1,0,33,0,12,14,gr,83,1
xx6c07c970.ag,1,0,46,20,13,17,ag,83,1
xx92e0d80f.pl,1,0,38,17,13,14,pl,83,1
xx5c1b01f2.ws,2,1,38,0,13,14,ws,83,1
xx6c07c970.ac,1,0,46,20,13,17,ac,83,1
xx25c1b01f.sg,1,0,38,0,13,14,sg,83,1
xx706c07c9.im,1,0,46,20,13,17,im,83,1
xxd80f92e.lv,1,0,33,17,12,14,lv,83,1
xxe0d80f92.hk,1,0,38,17,13,14,hk,83,1
xx6c07c970.am,1,0,46,20,13,17,am,83,1
xxb01f25c1.cc,2,0,38,0,13,14,cc,83,1
xx25c1b01f.se,1,0,38,17,13,14,se,83,1
xxc1b01f25.kz,1,0,38,0,13,14,kz,83,1
xxb01f25c1.cn,1,0,38,0,13,14,cn,83,1
xx25c1b01f.sh,1,0,38,0,13,14,sh,83,1
xx706c07c9.it,1,0,46,20,13,17,it,83,1
xx4b83603e.ru,2,0,46,50,13,17,ru,83,1
xx603e5383.at,1,0,54,67,13,20,at,83,1
xxc07ca706.fm,1,1,38,17,13,14,fm,83,1
xx9c1b01f2.tk,1,0,38,0,13,14,tk,83,1
xxd80f94e0.cz,1,0,38,17,13,14,cz,83,1
xx383603e5.us,1,0,54,67,13,20,us,83,1
xxc07ca706.fr,1,0,38,17,13,14,fr,83,1
xx6c07ca70.be,1,0,38,40,13,14,be,83,1
xx83603e53.in,1,0,54,67,13,20,in,83,1
xx9c1b01f2.tv,1,0,38,0,13,14,tv,83,1
xxd80f94e0.ch,1,0,38,17,13,14,ch,83,1
xx83603e53.io,1,0,54,150,13,20,io,83,1
xx1b01f29c.li,1,0,38,17,13,14,li,83,1
xx3603e538.me,1,0,54,67,13,20,me,83,1
xx6c07ca70.bz,1,0,38,17,13,14,bz,83,1
xx3603e538.md,1,0,54,25,13,20,md,83,1
xx3603e538.ms,1,0,54,25,13,20,ms,83,1
xx3e53836.es,1,0,50,67,12,20,es,83,1
xx1b01f29c.la,1,1,38,17,13,14,la,83,1
xx9c1b01f2.tw,1,0,38,0,13,14,tw,83,1
xx1f29c1b.dk,1,0,33,0,12,14,dk,83,1
xx94e0d80f.su,1,0,38,40,13,14,su,83,1
xx1f29c1b.de,1,0,33,17,12,14,de,83,1
xx6c07ca7.nu,1,0,33,40,12,14,nu,83,1
xx9c1b01f2.tc,1,0,38,0,13,14,tc,83,1
xx3e53836.eu,1,0,50,150,12,20,eu,83,1
xx94e0d80f.sc,1,0,38,17,13,14,sc,83,1
xx9c1b01f2.tm,1,0,38,0,13,14,tm,83,1
xx80f94e0d.gr,1,0,38,17,13,14,gr,83,1
xx603e5383.ag,1,0,54,67,13,20,ag,83,1
xx29c1b01f.pl,1,0,38,0,13,14,pl,83,1
xx4e0d80f9.ws,1,1,38,17,13,14,ws,83,1
xx603e5383.ac,1,0,54,67,13,20,ac,83,1
xx94e0d80f.sg,1,0,38,17,13,14,sg,83,1
xx83603e53.im,1,0,54,67,13,20,im,83,1
xx1b01f29c.lv,1,0,38,0,13,14,lv,83,1
xxc1b01f29.hk,1,0,38,0,13,14,hk,83,1
xx603e5383.am,1,0,54,67,13,20,am,83,1
xxd80f94e0.cc,2,0,38,17,13,14,cc,83,1
xx94e0d80f.se,1,0,38,40,13,14,se,83,1
xxe0d80f94.kz,1,0,38,17,13,14,kz,83,1
xxd80f94e0.cn,1,0,38,17,13,14,cn,83,1
xx94e0d80f.sh,1,0,38,17,13,14,sh,83,1
xx83603e53.it,1,0,54,67,13,20,it,83,1
xxca706c07.ru,1,0,38,40,13,14,ru,83,1
xxb01f2dc1.at,1,0,31,14,13,12,at,83,1
xx80f96e0d.fm,1,1,38,17,13,14,fm,83,1
xxb83603e5.tk,1,0,46,20,13,17,tk,83,1
xx6c07cb70.cz,1,0,38,0,13,14,cz,83,1
xxdc1b01f2.us,1,0,31,14,13,12,us,83,1
xx80f96e0d.fr,1,0,38,17,13,14,fr,83,1
xxd80f96e0.be,1,0,38,40,13,14,be,83,1
xxc1b01f2d.in,1,0,31,14,13,12,in,83,1
xxb83603e5.tv,1,0,46,20,13,17,tv,83,1
xx6c07cb70.ch,1,0,38,0,13,14,ch,83,1
xxc1b01f2d.io,1,0,31,33,13,12,io,83,1
xx3603e5b8.li,1,0,46,50,13,17,li,83,1
xx1b01f2dc.me,1,0,31,14,13,12,me,83,1
xxd80f96e0.bz,1,0,38,17,13,14,bz,83,1
xx1b01f2dc.md,1,0,31,0,13,12,md,83,1
xx1b01f2dc.ms,1,0,31,0,13,12,ms,83,1
xx1f2dc1b.es,1,0,25,14,12,12,es,83,1
xx3603e5b8.la,1,1,46,50,13,17,la,83,1
xxb83603e5.tw,1,0,46,20,13,17,tw,83,1
xx3e5b836.dk,1,0,42,20,12,17,dk,83,1
xxcb706c07.su,1,0,38,17,13,14,su,83,1
xx3e5b836.de,1,0,42,50,12,17,de,83,1
xxd80f96e.nu,1,0,33,40,12,14,nu,83,1
xxb83603e5.tc,1,0,46,20,13,17,tc,83,1
xx1f2dc1b.eu,1,0,25,33,12,12,eu,83,1
xxcb706c07.sc,1,0,38,0,13,14,sc,83,1
xxb83603e5.tm,1,0,46,20,13,17,tm,83,1
xxc07cb706.gr,1,0,38,0,13,14,gr,83,1
xxb01f2dc1.ag,1,0,31,14,13,12,ag,83,1
xx5b83603e.pl,1,0,46,20,13,17,pl,83,1
xxb706c07c.ws,2,1,38,0,13,14,ws,83,1
xxb01f2dc1.ac,1,0,31,14,13,12,ac,83,1
xxcb706c07.sg,1,0,38,0,13,14,sg,83,1
xxc1b01f2d.im,1,0,31,14,13,12,im,83,1
xx3603e5b8.lv,1,0,46,20,13,17,lv,83,1
xx83603e5b.hk,1,0,46,20,13,17,hk,83,1
xxb01f2dc1.am,1,0,31,14,13,12,am,83,1
xx6c07cb70.cc,2,0,38,0,13,14,cc,83,1
xxcb706c07.se,1,0,38,17,13,14,se,83,1
xx706c07cb.kz,1,0,38,0,13,14,kz,83,1
xx6c07cb70.cn,1,0,38,0,13,14,cn,83,1
xxcb706c07.sh,1,0,38,0,13,14,sh,83,1
xxc1b01f2d.it,1,0,31,14,13,12,it,83,1
xx96e0d80f.ru,1,0,38,40,13,14,ru,83,1
xx80f98e0d.at,1,0,38,40,13,14,at,83,1
xxb01f31c1.fm,2,1,38,0,13,14,fm,83,1
xxcc706c07.tk,2,0,38,0,13,14,tk,83,1
xx3e63836.cz,1,0,50,25,12,20,cz,83,1
