actual,preds
62,62
0,0
1,1
62,62
0,0
0,0
0,0
0,0
8,8
0,0
76,76
0,0
79,79
0,0
76,23
0,0
38,38
68,68
58,58
0,0
53,23
0,0
54,54
0,0
37,37
0,0
79,79
25,51
69,69
79,79
0,0
0,0
81,81
24,24
25,25
48,49
0,0
27,53
0,0
75,75
79,79
0,0
48,49
64,64
0,0
44,44
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
31,31
0,0
44,44
0,0
0,0
0,0
62,62
62,62
0,0
0,0
81,81
0,0
0,0
0,0
54,54
60,60
75,75
0,0
0,0
42,42
50,50
0,0
14,14
76,39
26,26
26,26
0,0
0,0
0,0
67,27
0,0
0,0
0,0
0,0
24,24
19,19
24,24
42,3
0,0
0,0
0,0
24,24
0,0
26,26
81,81
0,0
44,44
44,44
29,40
33,33
0,0
0,0
0,0
38,38
33,33
24,24
0,0
0,0
62,62
0,0
10,10
0,0
0,0
0,0
57,57
43,43
70,70
0,0
79,79
59,59
0,0
0,0
33,33
24,24
0,0
43,50
80,80
79,79
51,33
63,5
81,81
24,24
38,38
0,0
0,0
12,12
80,80
69,69
12,36
0,0
0,0
0,0
83,83
0,0
0,0
0,0
83,83
63,5
76,76
0,0
25,25
49,49
18,18
0,0
45,45
79,79
0,0
0,0
53,3
0,0
0,0
84,84
61,61
0,0
54,54
0,0
0,0
0,0
51,51
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
17,17
0,0
76,76
75,75
76,76
58,39
79,79
84,84
0,0
33,33
0,0
26,62
0,0
51,12
0,0
0,0
0,0
0,0
0,0
0,0
15,29
0,0
43,43
12,12
49,49
0,0
0,0
0,0
0,0
1,1
62,62
0,0
10,65
0,0
72,72
0,0
0,0
0,0
0,0
38,38
0,0
0,0
42,36
0,0
60,60
0,0
12,36
10,10
62,62
62,62
0,0
0,0
0,0
12,12
0,0
0,0
0,0
0,0
0,0
31,31
0,0
61,61
0,0
72,72
72,72
0,0
0,0
0,0
0,0
0,0
37,37
0,0
5,5
25,25
25,25
12,12
58,58
31,31
0,0
14,14
0,0
0,0
24,24
0,0
0,0
0,0
31,31
0,0
24,24
25,25
43,43
0,0
33,33
0,0
57,57
69,69
50,50
0,0
69,69
0,0
0,0
0,0
39,10
2,2
0,0
0,0
58,58
0,0
44,44
0,0
0,0
60,60
62,62
0,0
0,0
61,61
59,59
31,31
0,0
0,0
0,0
33,33
0,0
0,0
0,0
0,0
0,0
5,5
8,8
0,0
0,0
0,0
0,0
0,0
54,33
0,0
0,0
62,62
0,0
51,10
0,0
40,40
0,0
51,70
0,0
83,83
62,62
0,0
0,0
51,51
23,84
24,24
0,0
0,0
77,70
0,0
0,0
1,1
0,0
78,40
33,2
0,0
0,0
0,0
24,24
5,5
66,27
0,0
0,0
0,0
58,58
0,0
0,0
0,0
69,69
62,62
0,0
12,36
0,0
0,0
65,65
40,59
0,0
24,24
0,0
0,0
1,1
0,0
62,62
0,0
0,0
0,0
45,33
42,33
0,0
23,23
0,0
0,0
0,0
0,0
0,0
24,24
59,59
83,83
51,10
0,0
0,0
62,62
81,81
0,0
38,38
0,0
0,0
0,0
69,69
46,46
60,60
0,0
68,49
24,24
0,0
61,61
0,0
79,79
68,77
26,26
0,0
0,0
0,0
79,79
51,10
0,0
0,0
5,5
0,0
0,0
0,0
65,65
45,45
0,0
33,33
59,59
0,0
0,0
0,0
59,59
0,0
0,0
70,70
0,0
33,33
24,24
0,0
0,0
0,0
0,0
0,0
62,62
38,38
0,0
26,26
62,62
0,0
69,69
0,0
25,25
0,0
0,0
0,0
25,51
1,1
30,30
15,53
0,0
83,83
0,0
69,69
0,0
81,81
25,25
0,0
64,64
49,49
31,31
0,0
0,0
51,54
0,0
0,0
76,46
77,10
62,76
0,0
0,0
76,76
0,0
0,0
67,27
0,0
42,62
0,0
0,0
62,62
0,0
79,79
0,0
0,0
31,31
0,0
0,0
69,69
81,81
0,0
1,1
0,0
0,0
0,0
45,33
24,24
0,0
53,3
0,0
38,31
59,59
62,62
62,62
61,33
0,0
0,0
34,34
2,2
26,26
51,51
33,33
36,36
24,24
0,0
0,0
59,59
68,68
0,0
12,60
12,12
34,34
69,69
25,25
54,61
54,61
52,52
68,68
59,59
0,0
2,2
33,33
0,0
0,0
0,0
0,0
24,24
0,0
19,19
31,31
38,38
0,0
12,33
0,0
63,63
0,0
21,21
45,45
0,0
72,72
65,65
31,31
24,24
0,0
0,0
38,38
0,0
0,0
46,32
59,59
0,0
38,38
1,1
39,47
65,65
2,2
0,0
0,0
30,30
62,62
0,0
0,0
24,24
62,62
0,0
62,62
37,37
0,0
12,12
42,42
0,0
69,69
62,62
0,0
0,0
69,69
33,33
0,0
24,24
62,62
36,12
0,0
0,0
12,12
24,24
0,0
62,62
0,0
64,64
33,33
68,68
0,0
0,0
0,0
0,0
33,2
54,54
0,0
0,0
0,0
0,0
0,0
62,62
0,0
0,0
69,69
0,0
62,62
0,0
