class,probs,preds
1,0.99569076,1
0,0.005299479,0
0,0.0005161762,0
0,0.010525107,0
0,0.0051168203,0
1,0.977697,1
0,0.009739846,0
0,0.00080356,0
1,0.9999974,1
0,2.2888184e-05,0
1,0.9972027,1
0,0.009969205,0
1,0.9706938,1
0,4.8190355e-05,0
1,0.9989326,1
0,0.0004261434,0
0,0.0035896897,0
1,0.9961008,1
1,0.99606967,1
1,0.9944508,1
0,0.0021501482,0
1,0.99995154,1
0,0.0069530606,0
1,0.99998355,1
1,0.9978123,1
0,0.00399071,0
1,0.9999485,1
1,0.99999523,1
0,0.02026403,0
0,0.015019834,0
0,0.0004105568,0
1,0.98578775,1
1,0.99039626,1
1,0.99948096,1
1,0.9999604,1
0,0.0060324073,0
0,0.0026245117,0
1,0.9999894,1
0,0.0050734878,0
1,0.9956906,1
1,0.9457284,1
0,0.023430496,0
1,0.99944043,1
0,0.006427467,0
1,0.9999877,1
0,0.012531847,0
0,0.018983364,0
0,0.006419003,0
1,0.9983187,1
1,0.99971664,1
1,0.9997622,1
1,0.998882,1
1,0.9972118,1
1,0.99953264,1
0,0.003083229,0
1,0.99994093,1
0,0.00048708916,0
0,0.0028915405,0
1,0.9988824,1
0,0.07413295,0
0,0.005428076,0
1,0.9963733,1
1,0.99999654,1
1,0.9872985,1
1,0.9865883,1
1,0.9999869,1
1,0.98911333,1
0,0.0045799315,0
0,3.5136938e-05,0
0,0.00027042627,0
0,0.0035846233,0
1,0.99995106,1
0,2.3931265e-05,0
0,0.005300075,0
0,0.0070616007,0
0,0.0051544905,0
0,2.0742416e-05,0
1,0.99519145,1
1,0.9999653,1
1,0.99978024,1
0,0.00032106042,0
0,0.0034332275,0
1,0.99807096,1
0,0.009021223,0
0,0.0003258288,0
0,0.007973164,0
1,0.94358706,1
0,0.00093108416,0
0,0.058506757,0
1,0.99997616,1
1,0.9999992,1
0,0.002816826,0
0,2.2947788e-05,0
1,0.9676139,1
0,0.0031791031,0
0,0.00014060736,0
0,8.228421e-05,0
0,0.007390797,0
0,0.002093345,0
0,0.0008818507,0
1,0.9990302,1
1,0.9999964,1
0,0.00037288666,0
0,6.92904e-05,0
1,0.99989057,1
1,0.99997616,1
0,0.00014978647,0
1,0.997756,1
0,8.0019236e-05,0
1,0.99987197,1
1,0.99986696,1
0,0.0018058419,0
0,0.043824285,0
0,0.005158514,0
1,0.99999,1
0,0.0059425533,0
0,0.0088015795,0
0,0.02088353,0
1,0.99839926,1
1,0.9833722,1
0,5.969405e-05,0
1,0.99141926,1
1,0.99991894,1
0,0.020567954,0
0,0.00014352798,0
1,0.9994398,1
1,0.9996408,1
1,0.99997044,1
1,0.9999028,1
1,0.9991404,1
1,0.99982625,1
1,0.99720955,1
0,3.516674e-05,0
0,0.0001693964,0
0,0.0051383674,0
0,0.01567331,0
1,0.9999937,1
1,0.99995387,1
0,0.02377981,0
0,0.008725792,0
1,0.9999988,1
0,0.0011173487,0
1,0.9640836,1
1,0.9999927,1
0,0.0058219135,0
1,0.9989096,1
1,0.9999839,1
0,0.0034327805,0
1,0.99994755,1
0,0.0042507052,0
0,0.0076158345,0
0,0.0015967786,0
0,0.00026914477,0
0,0.005940348,0
0,0.013598084,0
1,0.99544144,1
1,0.9977319,1
1,0.9998547,1
1,0.99992824,1
1,0.9999826,1
1,0.9995196,1
0,0.0077530146,0
1,0.99728554,1
1,0.99893534,1
0,0.010524422,0
1,0.99997807,1
0,0.0010583699,0
0,0.009414345,0
1,0.9915321,1
1,0.9999759,1
1,0.9999944,1
0,0.0042476356,0
0,0.0127515495,0
0,4.810095e-05,0
0,0.0001578927,0
1,0.99940574,1
1,0.98337305,1
0,0.0058045983,0
0,0.0026966631,0
1,0.99903446,1
1,0.9971866,1
0,0.005301386,0
1,0.9345583,1
0,0.0061575472,0
0,0.0051386356,0
0,0.006944269,0
0,0.0037129223,0
0,0.0056320727,0
0,0.020264417,0
0,0.0058213472,0
1,0.9907511,1
1,0.9999908,1
1,0.99958956,1
1,0.98996556,1
0,0.06514186,0
1,0.9996798,1
0,0.0017753243,0
1,0.9999801,1
0,0.0059410036,0
1,0.99997807,1
1,0.9999833,1
0,0.03189665,0
0,0.004114181,0
1,0.9981479,1
1,0.99645257,1
1,0.9994401,1
0,0.0006579757,0
1,0.9913448,1
0,0.014085442,0
1,0.99456203,1
0,0.005646616,0
1,0.9994427,1
1,0.9998942,1
1,0.99998164,1
0,0.0002758801,0
1,0.9998802,1
0,0.006795436,0
1,0.99902976,1
1,0.9919003,1
0,0.0065448284,0
0,0.045693338,0
0,0.006417811,0
1,0.9608314,1
0,0.0051541924,0
0,0.0013564229,0
1,0.997563,1
0,0.011522561,0
0,0.015667588,0
0,0.010099798,0
0,0.020498753,0
0,0.0034332275,0
0,0.00018194318,0
1,0.80907035,1
1,0.99688935,1
0,0.011996329,0
0,0.0073906183,0
1,0.99963355,1
0,0.003142327,0
1,0.9999454,1
1,0.9982306,1
1,0.9999817,1
0,0.0069499314,0
1,0.99568987,1
1,0.97481704,1
1,0.9878576,1
1,0.9998988,1
1,0.9727086,1
1,0.989034,1
1,0.9999978,1
0,0.005140394,0
0,0.04424703,0
0,0.020261586,0
0,0.009146661,0
1,0.9999563,1
0,0.0027379692,0
1,0.9999956,1
1,0.9999978,1
1,0.9999963,1
1,0.99489856,1
1,0.9959939,1
0,0.0071214437,0
1,0.99996924,1
1,0.7515371,1
0,0.005945623,0
0,0.0039955974,0
1,0.9986459,1
1,0.9999027,1
1,0.9993764,1
0,0.013700068,0
1,0.9978483,1
0,0.009798974,0
0,0.025773555,0
0,0.0041122437,0
0,0.0045060515,0
1,0.99927396,1
1,0.99999,1
1,0.99987525,1
0,0.0074281096,0
0,0.0035863817,0
1,0.9946334,1
0,0.009148568,0
0,0.039538383,0
1,0.9999807,1
0,4.941225e-05,0
1,0.9853243,1
1,0.9554575,1
0,0.009115815,0
1,0.9999757,1
1,0.9969783,1
1,0.98897517,1
0,0.00034293532,0
0,0.00025877357,0
1,0.99427587,1
0,0.0009062886,0
0,0.0010504127,0
1,0.9929038,1
1,0.9998007,1
1,0.99999905,1
0,0.0012135804,0
0,0.00805527,0
0,0.007969677,0
1,0.99992067,1
1,0.98980343,1
1,0.99910194,1
0,0.008729547,0
1,0.9999546,1
0,0.0077545047,0
0,0.006952077,0
0,0.009968907,0
1,0.9999147,1
1,0.99999475,1
1,0.99999475,1
0,0.00514099,0
1,0.99174273,1
1,0.9999653,1
0,0.0014798641,0
1,0.99979573,1
1,0.9994999,1
0,0.0038562417,0
0,0.00015977025,0
1,0.9987885,1
0,0.00094658136,0
1,0.96161836,1
0,0.0009950101,0
0,0.0056324303,0
0,9.304285e-05,0
1,0.9471579,1
1,0.99720347,1
0,0.0013231337,0
1,0.99999857,1
1,0.99996066,1
1,0.9999987,1
1,0.9997219,1
1,0.99807346,1
0,0.00010693073,0
0,0.0051582456,0
1,0.9996542,1
0,0.00026342273,0
0,0.0002631247,0
0,0.0034310222,0
0,9.250641e-05,0
0,0.00033819675,0
