actual,preds
65,65
77,77
0,0
0,0
67,67
0,0
72,72
51,51
8,57
23,84
0,0
0,0
75,75
62,62
26,26
75,75
0,0
0,0
62,62
83,83
0,0
0,0
0,0
45,84
77,77
33,33
0,0
0,0
0,0
24,24
0,0
59,59
0,0
0,0
62,62
0,0
0,0
26,26
64,64
54,54
0,0
0,0
77,46
51,25
62,62
44,44
0,0
0,0
0,0
18,18
79,79
31,46
31,76
65,65
0,0
62,62
0,0
0,0
49,68
0,0
69,69
0,0
24,24
65,65
58,58
0,0
62,62
0,0
8,8
54,54
0,0
24,24
0,0
24,24
52,52
61,61
0,0
83,83
0,0
30,30
47,10
63,63
0,0
39,10
37,37
32,6
63,63
0,0
0,0
0,0
0,0
0,0
49,49
0,0
0,0
84,84
59,59
33,33
65,65
62,62
70,10
62,62
0,0
0,0
62,62
0,0
58,58
0,0
56,56
60,60
2,2
0,0
0,0
0,0
54,54
12,12
61,61
24,24
62,62
26,26
0,0
12,12
0,0
0,0
0,0
0,0
79,79
53,53
52,52
43,43
51,70
0,0
0,0
62,62
0,0
63,63
0,0
62,26
62,62
65,65
84,84
62,62
0,0
38,38
44,44
62,62
0,0
73,73
0,0
24,24
38,38
0,0
0,0
26,26
0,0
0,0
75,75
0,0
0,0
27,53
0,0
0,0
0,0
0,0
0,0
0,0
24,24
62,62
0,0
51,60
62,62
0,0
1,1
0,0
24,24
10,70
0,0
0,0
0,0
62,62
0,0
69,69
0,0
84,84
0,0
0,0
83,83
59,59
54,54
43,43
79,79
60,60
0,0
0,0
29,53
0,0
0,0
70,70
0,0
58,58
3,53
0,0
75,75
0,0
0,0
0,0
36,51
42,42
0,0
0,0
40,40
0,0
24,24
61,33
62,62
0,0
0,0
2,2
72,72
70,70
0,0
60,60
0,0
83,83
36,33
0,0
0,0
0,0
12,12
0,0
0,0
44,44
0,0
0,0
38,38
0,0
0,0
82,12
62,62
0,0
83,83
62,62
77,77
0,0
79,79
0,0
0,0
0,0
0,0
0,0
83,83
0,0
0,0
65,65
0,0
0,0
12,12
83,83
0,0
0,0
0,0
0,0
46,46
61,61
3,53
24,24
0,0
0,0
46,84
65,65
0,0
58,58
53,53
0,0
0,0
0,0
24,24
0,0
0,0
0,0
26,63
24,24
59,59
38,38
68,68
26,63
40,23
42,38
2,2
0,0
0,0
0,0
45,45
12,12
50,50
33,33
70,10
24,24
0,0
79,79
50,50
26,26
59,59
54,61
51,12
0,0
62,62
0,0
0,0
8,8
38,38
0,0
0,0
24,24
0,0
0,0
0,0
43,43
0,0
0,0
0,0
14,14
0,0
0,0
0,0
0,0
0,0
70,70
0,0
0,0
60,60
48,51
0,0
38,38
0,0
24,24
0,0
0,0
84,84
0,0
0,0
49,48
33,33
0,0
0,0
0,0
0,0
0,0
24,24
0,0
39,31
50,50
62,62
0,0
0,0
0,0
0,0
26,26
0,0
0,0
0,0
69,69
0,0
0,0
0,0
0,0
69,69
58,58
0,0
0,0
0,0
81,81
0,0
0,0
0,0
0,0
33,33
0,0
0,0
67,67
0,0
0,0
0,0
62,62
0,0
0,0
0,0
67,67
0,0
4,4
62,62
18,18
15,53
0,0
24,24
0,0
0,0
63,63
0,0
0,0
14,14
0,0
63,63
0,0
79,79
62,62
0,0
0,0
0,0
0,0
84,84
0,0
0,0
12,12
81,81
63,63
0,0
62,62
0,0
0,0
0,0
62,62
0,0
0,0
0,0
65,65
0,0
80,80
0,0
0,0
0,0
62,62
0,0
25,25
0,0
0,0
33,33
33,33
63,63
0,0
0,0
0,0
12,12
0,0
64,64
0,0
24,24
60,60
47,12
0,0
26,26
24,24
0,0
0,0
0,0
51,51
0,0
10,10
75,75
0,0
63,5
36,36
0,0
62,62
54,54
0,0
0,0
38,44
0,0
75,75
31,31
33,33
0,0
0,0
0,0
25,25
0,0
0,0
0,0
47,12
52,52
0,0
31,31
38,38
0,0
40,49
0,0
62,62
63,63
3,53
0,0
0,0
75,75
24,24
84,84
0,0
0,0
0,0
18,18
0,0
0,0
39,10
0,0
0,0
0,0
75,75
79,0
62,62
10,77
0,0
0,0
0,0
0,0
78,77
61,61
58,58
62,62
62,62
0,0
0,0
65,65
0,0
47,10
0,0
59,59
18,18
81,81
25,25
68,68
37,37
0,0
60,60
0,0
26,26
0,0
0,0
0,0
38,38
0,0
33,33
0,0
0,0
0,0
24,24
62,62
12,12
0,0
0,0
0,0
0,0
0,0
62,62
0,0
0,0
0,0
0,0
0,0
0,0
0,0
24,24
0,0
39,40
12,12
63,63
0,0
62,62
79,79
50,43
0,0
0,0
79,79
10,10
0,0
0,0
26,62
31,54
0,0
0,0
0,0
58,58
0,0
0,0
64,64
3,3
0,0
0,0
0,0
3,53
0,0
0,0
0,0
37,37
0,0
0,0
0,0
48,49
0,0
59,59
0,0
24,24
0,0
76,76
10,10
0,0
62,62
69,69
75,75
37,37
81,81
62,62
0,0
61,61
26,26
0,0
0,0
0,0
24,24
0,0
0,0
25,51
0,0
0,0
46,46
0,0
0,0
54,54
0,0
11,8
0,0
54,54
0,0
0,0
24,24
0,0
62,62
8,72
33,33
0,0
0,0
0,0
0,0
0,0
53,53
62,62
0,0
0,0
64,64
76,53
24,24
0,0
62,62
40,40
0,0
25,25
0,0
33,33
68,68
0,0
0,0
0,0
58,58
0,0
60,60
0,0
24,24
26,26
72,72
81,81
62,62
0,0
0,0
69,69
33,2
0,0
0,0
3,3
0,0
3,53
0,0
49,49
0,0
0,0
0,0
31,31
0,0
12,60
81,81
62,62
0,0
0,0
65,76
48,59
0,0
63,63
0,0
0,0
0,0
0,0
0,0
3,3
0,0
62,80
0,0
0,0
0,0
0,0
34,34
0,0
38,38
33,33
12,60
0,0
0,0
48,49
0,0
60,60
0,0
0,0
0,0
60,60
0,0
0,0
19,50
0,0
12,12
0,0
0,0
38,38
0,0
0,0
0,0
62,62
0,0
8,8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
12,12
0,0
0,0
26,62
76,53
0,0
0,0
0,0
0,0
0,0
0,0
67,77
0,0
0,0
0,0
54,54
5,5
0,0
0,0
0,0
15,53
80,80
83,83
62,62
0,0
24,24
0,0
48,44
38,31
0,0
0,0
0,0
44,44
33,33
50,50
33,53
79,79
0,0
33,33
24,24
68,68
0,0
23,23
0,0
67,67
20,20
0,0
54,54
0,0
0,0
62,62
63,63
38,38
0,0
0,0
0,0
11,57
48,84
48,49
0,0
0,0
0,0
0,0
76,76
68,68
0,0
38,38
50,50
0,0
0,0
76,23
81,81
38,38
0,0
0,0
0,0
63,63
0,0
0,0
0,0
38,38
0,0
84,84
33,33
0,0
62,62
0,0
83,83
31,31
81,81
62,62
18,18
0,0
45,45
0,0
19,19
10,10
0,0
23,84
0,0
77,10
0,0
59,59
44,44
60,60
0,0
79,79
0,0
52,52
81,81
0,0
26,26
0,0
81,81
0,0
0,0
0,0
43,43
62,62
0,0
0,0
38,38
10,12
0,0
0,0
0,0
0,0
53,76
0,0
60,60
0,0
62,62
51,61
62,62
64,64
0,0
75,75
62,62
0,0
80,80
47,47
43,43
24,24
0,0
0,0
0,0
26,26
31,31
47,59
0,0
0,0
0,0
12,12
0,0
0,0
0,0
0,0
27,79
24,24
0,0
62,62
59,59
24,24
0,0
18,18
0,0
33,33
0,0
62,62
0,0
0,0
11,11
0,0
38,38
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
77,77
24,24
0,0
43,43
30,30
11,11
31,31
0,0
0,0
76,76
0,0
49,62
0,0
0,0
31,31
0,0
0,0
65,65
62,62
75,75
60,60
24,24
0,0
23,84
0,0
52,52
83,83
0,0
61,61
54,33
0,0
